Year,Event,Athlete,Country,Time
2019,FINA World Championships,Katie LEDECKY,USA,8:13.58
2019,FINA World Championships,Simona QUADARELLA,ITA,8:14.99
2019,FINA World Championships,Ariarne TITMUS,AUS,8:15.70
2019,FINA World Championships,Sarah KOHLER,GER,8:16.43
2019,FINA World Championships,Leah SMITH,USA,8:17.10
2019,FINA World Championships,Jianjiahe WANG,CHN,8:18.57
2019,FINA World Championships,Kiah MELVERTON,AUS,8:25.07
2019,FINA World Championships,Mireia BELMONTE,ESP,8:25.51
